datetime,pm25,temp,humidity,precip,wind_speed,hour,day_of_week,month,is_weekend,is_rainy_season,traffic_proxy,pm25_lag1,pm25_lag2,pm25_lag3,pm25_lag24,traffic_lag1,traffic_lag2,precip_lag1,wind_speed_lag1,pm25_roll3,pm25_roll6,pm25_roll12,pm25_roll24
2024-01-02 00:00:00,33.1,26.1,85,0.0,4.0,0,1,1,0,0,0.10000066583614699,38.9,45.4,51.9,17.6,0.12017024636218578,0.4377767624886967,0.0,3.3,45.4,49.5,41.208333333333336,34.9625
2024-01-02 01:00:00,31.1,25.9,87,0.0,5.4,1,1,1,0,0,0.10001866446911353,33.1,38.9,45.4,17.2,0.10000066583614699,0.12017024636218578,0.0,4.0,39.13333333333333,48.43333333333334,41.06666666666667,35.608333333333334
2024-01-02 02:00:00,32.7,25.5,91,0.0,3.2,2,1,1,0,0,0.10033546262790252,31.1,33.1,38.9,18.8,0.10001866446911353,0.10000066583614699,0.0,5.4,34.36666666666667,43.416666666666664,40.958333333333336,36.1875
2024-01-02 03:00:00,37.6,25.3,91,0.0,4.1,3,1,1,0,0,0.10386592013947281,32.7,31.1,33.1,21.8,0.10033546262790252,0.10001866446911353,0.0,3.2,32.300000000000004,38.85,41.06666666666667,36.766666666666666
2024-01-02 04:00:00,42.1,24.9,94,0.0,4.3,4,1,1,0,0,0.12856550078455037,37.6,32.7,31.1,24.4,0.10386592013947281,0.10033546262790252,0.0,4.1,33.800000000000004,36.46666666666667,41.608333333333334,37.425000000000004
2024-01-02 05:00:00,44.4,24.8,93,0.0,6.0,5,1,1,0,0,0.2353352832366127,42.1,37.6,32.7,27.3,0.12856550078455037,0.10386592013947281,0.0,4.3,37.46666666666667,35.916666666666664,42.44166666666667,38.1625
2024-01-02 06:00:00,46.0,24.2,96,0.0,6.9,6,1,1,0,0,0.7611122905071874,44.4,42.1,37.6,31.0,0.2353352832366127,0.12856550078455037,0.0,6.0,41.36666666666667,36.833333333333336,43.166666666666664,38.875
2024-01-02 07:00:00,50.5,24.6,93,0.0,6.7,7,1,1,0,0,1.0,46.0,44.4,42.1,35.9,0.7611122905071874,0.2353352832366127,0.0,6.9,44.166666666666664,38.983333333333334,43.708333333333336,39.5
2024-01-02 08:00:00,50.2,26.4,84,0.0,5.1,8,1,1,0,0,1.0,50.5,46.0,44.4,37.7,1.0,0.7611122905071874,0.0,6.7,46.96666666666667,42.21666666666667,42.81666666666666,40.108333333333334
2024-01-02 09:00:00,51.8,28.2,74,0.0,4.3,9,1,1,0,0,1.0,50.2,50.5,46.0,37.3,1.0,1.0,0.0,5.1,48.9,45.13333333333333,41.99166666666667,40.62916666666666
2024-01-02 10:00:00,58.1,29.6,66,0.0,4.8,10,1,1,0,0,0.7611122905071874,51.8,50.2,50.5,37.8,1.0,1.0,0.0,4.3,50.833333333333336,47.5,41.983333333333334,41.233333333333334
2024-01-02 11:00:00,53.3,30.8,60,0.0,5.7,11,1,1,0,0,0.4853352832366127,58.1,51.8,50.2,37.8,0.7611122905071874,1.0,0.0,4.8,53.36666666666667,50.166666666666664,43.041666666666664,42.07916666666667
2024-01-02 12:00:00,49.0,31.6,56,0.0,6.0,12,1,1,0,0,0.37856550078455037,53.3,58.1,51.8,34.8,0.4853352832366127,0.7611122905071874,0.0,5.7,54.4,51.650000000000006,44.241666666666674,42.725
2024-01-02 13:00:00,48.2,32.3,53,0.0,5.9,13,1,1,0,0,0.35849227276083206,49.0,53.3,58.1,32.4,0.37856550078455037,0.4853352832366127,0.0,6.0,53.46666666666667,52.150000000000006,45.56666666666666,43.31666666666666
2024-01-02 14:00:00,45.1,32.7,50,0.0,4.6,14,1,1,0,0,0.3939369336234074,48.2,49.0,53.3,31.4,0.35849227276083206,0.37856550078455037,0.0,5.9,50.166666666666664,51.76666666666667,46.99166666666667,43.975
2024-01-02 15:00:00,42.3,32.8,49,0.0,4.7,15,1,1,0,0,0.5108276240994183,45.1,48.2,49.0,31.1,0.3939369336234074,0.35849227276083206,0.0,4.6,47.43333333333334,50.916666666666664,48.025000000000006,44.54583333333333
2024-01-02 16:00:00,39.6,32.7,49,0.0,6.0,16,1,1,0,0,0.766501568322093,42.3,45.1,48.2,32.1,0.5108276240994183,0.3939369336234074,0.0,4.7,45.199999999999996,49.333333333333336,48.416666666666664,45.012499999999996
2024-01-02 17:00:00,40.7,31.6,54,0.0,11.5,17,1,1,0,0,1.0,39.6,42.3,45.1,35.7,0.766501568322093,0.5108276240994183,0.0,6.0,42.333333333333336,46.25,48.208333333333336,45.324999999999996
2024-01-02 18:00:00,41.7,28.9,71,0.0,15.9,18,1,1,0,0,1.0,40.7,39.6,42.3,39.5,1.0,0.766501568322093,0.0,11.5,40.86666666666667,44.15,47.900000000000006,45.53333333333334
2024-01-02 19:00:00,49.4,28.1,72,0.0,15.0,19,1,1,0,0,1.0,41.7,40.7,39.6,61.2,1.0,1.0,0.0,15.9,40.666666666666664,42.93333333333334,47.541666666666664,45.625
